k_features,dropout_rate,learning_rate,weight_decay,optimizer,batch_size,lr_factor,lr_patience,hidden_sizes,rmse
10,0.23160090045133663,0.00223141716139872,5.076593420545737e-05,RMSprop,16,0.5079940775579606,48,[],3227.7662554776175
10,0.20706060295434894,0.0021667689794065263,1.3327284693710036e-05,RMSprop,16,0.6930268372452559,46,[],3299.482232108547
10,0.1273379338946128,0.004787618572604971,1.135960207383442e-06,RMSprop,16,0.6778096128591652,46,[],3390.3958470951443
10,0.15516276397248524,0.005444805702649128,2.1065060352029157e-06,RMSprop,16,0.6938673014591922,50,[],3416.76133202189
10,0.06798049443817519,0.005440935423767841,1.9454051318911974e-06,RMSprop,16,0.6827767398445442,46,[],3451.313662940533
10,0.14142916153910448,0.0064808752866367175,1.34534931803583e-06,RMSprop,16,0.6798169790319453,47,[],3454.499384860272
10,0.14501519551113898,0.0032725706247813168,2.6274512122972517e-06,RMSprop,16,0.6425420609400692,44,[],3470.8117206209845
10,0.15784715353047052,0.005881574573439856,2.2691627008587673e-06,RMSprop,16,0.6958678687866741,46,[],3471.7904602668636
10,0.12110686133667488,0.008771640515602083,1.9976140669991043e-06,RMSprop,16,0.6277209562240375,46,[],3478.80094285373
10,0.12267354514519105,0.007944641234328158,1.4207635677314404e-06,Adam,16,0.7309190377503827,34,[],3485.4698392038913
10,0.20466471047568494,0.006681937670389342,2.041561348914123e-06,RMSprop,16,0.7322493039437201,47,[],3486.532518133167
10,0.12528674387260272,0.006994347350233167,4.037620891791393e-06,Adam,16,0.6234971006348349,46,[],3508.668123376732
9,0.16744231325771516,0.005059559103836761,1.0679822038415417e-06,RMSprop,16,0.6876709427229566,47,[],3516.40640427127
10,0.1433308470662401,0.003575194667765,1.0283443380145153e-06,RMSprop,16,0.6950204658063436,49,[],3520.1742854580366
10,0.14575422627152615,0.00361210338192169,1.2783597326849343e-06,RMSprop,16,0.6838379680578381,44,[],3528.80985602795
10,0.18047373480318407,0.0033817661239616886,1.4090876151012097e-06,RMSprop,16,0.6833742507536409,46,[],3529.6159847779477
10,0.16164847019744952,0.007945825157365971,1.0659339899221923e-06,RMSprop,16,0.6798554034786638,46,[],3534.641565986571
10,0.14234726994329505,0.006684193964187245,1.3477591351331357e-06,RMSprop,16,0.6806310768002277,47,[],3539.3084070196537
10,0.2040561351694282,0.007858262965339235,1.568703192554293e-06,RMSprop,16,0.708209524382801,47,[],3541.513800622553
10,0.1811756971152215,0.006861297794891738,1.4268442505286668e-06,RMSprop,16,0.6941380059009847,46,[],3547.3896036381457
10,0.23822777065840006,0.006844808523331531,1.7652487476671161e-06,RMSprop,16,0.7273013960720334,49,[],3548.8431918020838
10,0.2136828092707032,0.0065992667028184895,1.8628708647266865e-06,RMSprop,16,0.7136681273308207,47,[],3555.5894026166743
10,0.1381436454797704,0.008139063750012382,1.0117771786074859e-06,Adam,16,0.7646330903110559,45,[],3555.935179386711
10,0.2510622304465055,0.00605380640314758,1.8889251717522349e-06,RMSprop,16,0.6936010492044433,49,[],3556.091393651181
10,0.11893742548999543,0.008194739907487605,1.0485329470222975e-06,RMSprop,16,0.6604518442657189,46,[],3558.6018321807232
10,0.17051927860461966,0.0012666304609068489,4.806054666895137e-06,RMSprop,16,0.7248821732787459,44,[],3564.751043200633
10,0.018364519560330306,0.006172929057114975,1.964063927763098e-06,RMSprop,16,0.6711535106977387,46,[],3569.0598201767366
9,0.18133362116919324,0.0033524330872487535,1.3854484254322559e-06,RMSprop,16,0.6858511985299992,46,[],3572.117019359808
10,0.15210990895499507,0.006886083930190714,1.1635493109733913e-06,RMSprop,16,0.6780256944048861,48,[],3580.4269298506847
4,0.001486715769971933,0.007083189876672799,1.7226558218793676e-06,RMSprop,16,0.6658140083202291,48,[],3585.3791989132756
10,0.20221650855773865,0.0029847909935813723,1.298325839188368e-06,RMSprop,16,0.6723299776264564,46,[],3590.9152036771907
10,0.1586701551292767,0.009006607235708482,6.609630416598671e-06,RMSprop,16,0.7463368807474299,47,[],3591.563726289706
10,0.11721163691586663,0.008247870339322677,1.032841606864786e-06,RMSprop,16,0.6818850227615694,46,[],3592.7515917469163
10,0.23993433794707664,0.006963935940035564,2.1043064584772373e-06,RMSprop,16,0.715373631827746,49,[],3593.5821960823437
10,0.22859722983196296,0.003312791232229241,5.05720034475708e-05,RMSprop,16,0.5443096107241899,48,[],3602.9179840790157
10,0.21362491144408463,0.006406640465847552,2.257162459580268e-06,RMSprop,16,0.7384193184664305,48,[],3603.7021242050514
10,0.144694438028368,0.008341121687268634,1.0412660354499664e-06,RMSprop,16,0.7082708621612092,49,[],3604.2006048498465
10,0.18113909524996227,0.0026249251880221345,1.1822299757898223e-06,RMSprop,16,0.6785939431344875,47,[],3604.8755873122723
10,0.26312784107739323,0.0021597878950602835,1.3090695427391637e-05,RMSprop,16,0.5353330732115068,48,[],3606.7167895469697
10,0.1378573718617378,0.0036119759484870197,1.1524655456091366e-06,RMSprop,16,0.6744673072310078,47,[],3607.553880401511
9,0.14365926761627798,0.00547279352834765,1.3415910842870303e-06,AdamW,16,0.7071198697987868,44,[],3612.515882318028
10,0.16928611862943532,0.002633119713688642,2.476325948598567e-06,RMSprop,16,0.6385199565967247,44,[],3617.5560811133255
10,0.1676624767863961,0.0053757054603254745,1.4681123153096823e-06,RMSprop,16,0.701005936907468,46,[],3618.5791410441752
10,0.0893202540064088,0.003695029836287607,1.2690957344642673e-06,RMSprop,16,0.6899758915367515,47,[],3619.81877999438
10,0.13706387013619986,0.005674689137304486,1.3345655494225807e-06,RMSprop,16,0.6818323853956657,50,[],3622.3566914372195
10,0.02899292548896748,0.006365105458868419,2.7565057374336277e-06,RMSprop,16,0.6709165284243127,48,[],3627.56929637464
4,0.13110446115845414,0.006750482321508041,1.8073231289220334e-06,RMSprop,16,0.6738144005135209,47,[],3632.0556163142655
10,0.142337776703999,0.0036502120709668183,1.2482889522974235e-06,RMSprop,16,0.7225127134002698,47,[],3633.5360188114278
10,0.18440610424655493,0.0016176109823580601,3.110188256251589e-05,RMSprop,16,0.6828328231841447,29,[],3638.693446829507
10,0.08773202504041452,0.0039686258855767985,2.119907989218958e-06,RMSprop,32,0.6936740142107747,49,[],3650.7475946715354
10,0.12586223624673498,0.0063527245480849755,1.1563569707717483e-06,RMSprop,16,0.7083014523842079,49,[],3654.2817351704016
10,0.19048375875217974,0.005416002217678434,1.5094285826318087e-06,RMSprop,16,0.7313261825609558,48,[],3657.388549224706
10,0.19644349433686245,0.0038909120147029054,2.4156046215027585e-06,RMSprop,16,0.7178240007315371,47,[],3657.8290009239086
10,0.2336114819065746,0.006371505246961953,1.8178978181701117e-06,RMSprop,16,0.7256015471310918,50,[],3661.1981645357578
10,0.1448485815407573,0.004150290531431228,1.3262317087710688e-06,RMSprop,16,0.7032265003670913,44,[],3662.686036230788
10,0.1333779991845244,0.0077539105179133755,1.1099364987675245e-06,Adam,16,0.7655984375052918,35,[],3666.9295057309187
10,0.23559423322720657,0.0051641898936310455,0.00011083531053746183,RMSprop,16,0.5370817916359069,42,[],3667.2174737803593
10,0.26399670855006274,0.002186869821637486,0.00011996279777350969,RMSprop,16,0.6086491160413069,25,[],3668.725119166057
10,0.10188661062012548,0.007909185973055339,2.0018655560490604e-06,RMSprop,16,0.6258748158961082,46,[],3670.7579598769516
10,0.13668554293570762,0.002167143473080274,2.815327459651636e-06,RMSprop,16,0.7384664227198318,46,[],3682.857857696927
10,0.12992478718767783,0.009071207922402116,1.4765729922603642e-06,RMSprop,16,0.6917537225343445,41,[],3684.7219705155503
9,0.09763754719531956,0.008447076620976993,1.4813150954048188e-06,Adam,16,0.6565984248427036,45,[],3693.2419362939113
10,0.04238752699726448,0.005234844469117063,3.244889267639157e-06,AdamW,16,0.6523367169780596,43,[],3699.449959115544
10,0.2052090598846028,0.0024981945004474196,1.8926026192483574e-06,RMSprop,16,0.7165643439094646,44,[],3702.4171834086983
10,0.14984719781852915,0.0033259673135021387,2.0876598299444483e-06,RMSprop,16,0.6661343675283978,45,[],3702.9856872529226
10,0.15233939165432275,0.0049188361761709435,3.0000512454341954e-06,RMSprop,16,0.6989889106605696,50,[],3711.14833979996
10,0.1639677350958297,0.006622863199902681,1.6673384082492285e-06,RMSprop,16,0.6445915843316233,43,[],3718.8010164567827
10,0.0344955864037553,0.004357754593143835,1.1585868427678154e-06,RMSprop,16,0.7117746510595494,45,[],3719.1968218958245
10,0.11579615464249213,0.0075361080363065495,1.2983918770863036e-06,RMSprop,16,0.6631530565876865,46,[],3722.0941686099236
10,0.40642183623472766,0.0017185207238102076,2.05945302295722e-05,RMSprop,16,0.5222876583948639,50,[],3723.6333063286456
10,0.2037288144382972,0.007812108561589813,1.6085654611372042e-06,Adam,16,0.7028132417839494,47,[],3729.7922194138378
10,0.10378050714118833,0.006643910340833712,1.0409756993492443e-06,Adam,16,0.7602310500962376,46,[],3737.055793000688
10,0.2997651206218908,0.0029367118769187675,3.370175848049281e-05,RMSprop,16,0.57256277228949,30,[],3740.3712382596464
10,0.18776069508666848,0.0015770989657545246,3.6227986595767015e-05,RMSprop,16,0.673770879025482,29,[],3742.8185903139897
10,0.027298611427936978,0.004507005116968315,1.9506730376138127e-06,RMSprop,16,0.6922284070517953,45,[],3746.668653617504
10,0.1826476055494509,0.009344416887714209,1.500323170776135e-06,RMSprop,16,0.6938594288367309,48,[],3749.9897333192794
10,0.07750044633858916,0.003709761732175632,1.0057180719008597e-06,RMSprop,16,0.7265268735791383,47,[],3751.6586998286502
10,0.06100913625636818,0.004744739838239713,2.1743192302535137e-06,RMSprop,16,0.7273187768162207,45,[],3766.52890603537
10,0.12384096334868809,0.00943909535602169,1.3561475201825862e-06,Adam,16,0.6912900597979977,44,[],3771.717778413438
10,0.11050769689981645,0.0082623656335462,1.5626346788169886e-06,Adam,16,0.7299964148141345,33,[],3775.518904733494
10,0.19789420682425468,0.0068853454884996,2.0095104051657664e-06,RMSprop,16,0.6849984950993304,50,[],3777.5300131170366
9,0.13109397961251565,0.0065750625728375235,1.5972360994694124e-06,RMSprop,16,0.647795829831963,48,[],3780.8089081570893
10,0.13870489744084563,0.008401605570989281,1.6498645482762477e-06,Adam,16,0.5982144838702568,45,[],3784.4950786069203
9,0.15260465536927875,0.006224280514666202,1.0780803115527035e-06,RMSprop,32,0.6843685124143857,47,[],3788.2832523453153
9,0.23468634038970945,0.0032783868509988425,2.6480961496209945e-05,RMSprop,16,0.532251259991432,37,[],3790.4995712966384
10,0.1429171490339413,0.005333802900735677,1.001628725209079e-06,RMSprop,16,0.68664551176721,45,[],3792.7671955974306
10,0.15054198145231049,0.009859036933915667,1.8333031909738283e-06,RMSprop,16,0.7008990770449782,48,[],3794.9205525280763
10,0.09143337346462961,0.00592665577828153,1.3737362919640178e-06,Adam,16,0.6938077454721414,50,[],3795.567941691994
